Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.253:57018,8.8.8.8,53,1,162,1,76,2,238,149870.512659,0.0378,
10.25.22.253:51366,8.8.8.8,53,1,87,1,71,2,158,1318671.43731,0.038,
10.25.22.253:58166,8.8.8.8,53,1,162,1,76,2,238,149870.755811,0.038,
10.25.22.253:53490,8.8.8.8,53,1,162,1,76,2,238,149869.665672,0.0381,
10.25.22.253:60507,8.8.8.8,53,1,163,1,77,2,240,149871.114028,0.0382,
10.25.22.253:50336,8.8.8.8,53,1,162,1,76,2,238,149869.918996,0.0383,
10.25.22.253:59649,8.8.8.8,53,1,91,1,75,2,166,1318670.292244,0.0385,
10.25.22.253:54370,8.8.8.8,53,1,91,1,75,2,166,1318671.232094,0.0387,
10.25.22.253:55599,8.8.8.8,53,1,162,1,76,2,238,149870.206899,0.0389,
10.25.22.253:50927,8.8.8.8,53,1,162,1,76,2,238,149869.7739,0.039,
10.25.22.253:52083,8.8.8.8,53,1,162,1,76,2,238,149870.511474,0.039,
10.25.22.253:55684,8.8.8.8,53,1,162,1,76,2,238,149869.333935,0.0395,
10.25.22.253:64994,8.8.8.8,53,1,162,1,76,2,238,149869.73316,0.0395,
10.25.22.253:54513,8.8.8.8,53,1,162,1,76,2,238,149870.239778,0.0396,
10.25.22.253:54477,8.8.8.8,53,1,88,1,72,2,160,1318671.476815,0.0397,
10.25.22.253:65418,8.8.8.8,53,1,126,1,77,2,203,149928.179408,0.0397,
10.25.22.253:52138,8.8.8.8,53,1,162,1,76,2,238,149871.009006,0.0397,
10.25.22.253:60064,8.8.8.8,53,1,89,1,73,2,162,1318670.836845,0.0398,
10.25.22.253:53743,8.8.8.8,53,1,162,1,76,2,238,149870.155353,0.04,
